date,num_people,num_messages,pct_public,pct_private,pct_direct,num_files
2016-02-28,8,254,67,0,33,2
2016-03-06,8,113,77,0,23,4
2016-03-13,8,409,54,0,46,7
2016-03-20,8,275,60,0,40,8
2016-03-27,8,229,24,0,76,7
2016-04-03,8,207,36,0,64,2
2016-04-10,8,236,28,5,67,3
2016-04-17,8,155,49,1,50,0
2016-04-24,8,218,15,0,85,0
2016-05-01,8,153,39,1,60,1
2016-05-15,8,155,79,7,14,3
2016-05-29,9,239,61,0,39,2
2016-06-05,9,174,50,0,50,4
2016-06-12,9,165,56,0,44,1
2016-06-19,9,324,68,3,29,8
2016-06-26,9,186,56,1,43,4
2016-07-03,10,196,59,0,41,16
2016-07-10,10,304,81,0,19,12
2016-07-17,11,210,83,0,17,1
2016-07-24,11,113,15,0,85,2
2016-07-31,11,198,94,0,6,6
2016-08-07,11,308,91,0,9,3
2016-08-14,11,851,96,0,4,38
2016-08-21,12,276,82,0,18,7
2016-08-28,12,259,75,0,25,8
2016-09-04,12,340,70,0,30,15
2016-09-11,13,578,37,0,63,12
2016-09-18,13,134,64,0,36,2
2016-09-25,14,767,32,1,67,19
2016-10-02,14,441,43,0,57,15
2016-10-09,14,226,72,0,28,11
2016-10-16,14,650,83,0,17,37
2016-10-23,15,908,81,0,19,45
2016-10-30,15,502,92,0,8,22
2016-11-06,15,941,82,0,18,50
2016-11-13,15,1254,71,1,28,38
2016-11-20,15,918,69,3,28,40
2016-11-27,15,705,71,0,29,32
2016-12-04,15,556,42,0,58,15
2016-12-11,15,382,82,0,18,28
2016-12-18,15,522,43,0,57,15
2017-01-01,15,867,23,0,77,14
2017-01-08,15,419,53,0,47,7
2017-01-15,15,342,52,0,48,18
2017-01-22,15,595,58,0,42,12
2017-01-29,15,261,51,0,49,19
2017-02-05,15,350,61,0,39,12
2017-02-12,15,334,54,5,41,9
2017-02-12,15,334,54,5,41,9
2017-02-19,15,598,70,0,30,25
2017-02-26,15,345,76,0,24,33
2017-03-05,15,245,52,0,48,11
2017-03-12,15,235,70,0,30,8
2017-03-19,15,397,76,0,24,18
2017-03-26,15,516,61,0,39,11
2017-04-02,15,513,66,0,34,20
2017-04-09,15,298,58,0,42,14
2017-04-16,15,364,81,0,19,13
2017-04-23,15,454,71,0,29,30
2017-04-30,15,342,70,0,30,14
2017-05-07,15,533,72,0,28,14
2017-05-14,15,396,74,0,26,22
2017-05-21,15,283,48,0,52,7
2017-05-28,15,286,60,0,40,5
2017-06-04,15,804,69,0,31,41
2017-06-11,15,646,27,0,73,41
2017-06-18,15,295,72,0,28,22
